,MSE,MAE,ARV,IA
AR,0.2861,0.3772,0.1690,0.9599
ARMA,0.2830,0.3743,0.1668,0.9604
MLP,0.3195,0.4293,0.2366,0.9501
RBF,0.8020,0.7263,1.8531,0.8048
ELM,0.2847,0.3707,0.1619,0.9608
ESN,0.2839,0.3678,0.1601,0.9611
AR+MLP,0.3870,0.4650,0.2191,0.9462
AR+RBF,0.3211,0.4040,0.2277,0.9508
AR+ELM,0.5640,0.5356,0.2885,0.9243
AR+ESN,0.3033,0.3825,0.1609,0.9596
ARMA+MLP,0.3912,0.4727,0.2177,0.9461
ARMA+RBF,0.3183,0.3921,0.2144,0.9524
ARMA+ELM,0.3338,0.4081,0.1705,0.9562
ARMA+ESN,0.3089,0.3928,0.1602,0.9593
Ensemble - Mediana (ML),0.2841,0.3754,0.1676,0.9602
Ensemble - Mediana (RNAs),0.2913,0.3952,0.1936,0.9568
Ensemble - Mediana (RNAs sem RBF),0.2822,0.3691,0.1669,0.9604
Ensemble - Mediana (MU),0.2825,0.3737,0.1711,0.9599
Ensemble - Mediana (MU sem RBF),0.2822,0.3724,0.1673,0.9604
Ensemble - Mediana (todos),0.2894,0.3721,0.1772,0.9587
Ensemble - Média (ML),0.2841,0.3754,0.1676,0.9602
Ensemble - Média (RNAs),0.3239,0.4316,0.2633,0.9474
Ensemble - Média (RNAs sem RBF),0.3239,0.4316,0.2633,0.9474
Ensemble - Média (MU),0.3008,0.4069,0.2187,0.9535
Ensemble - Média (MU sem RBF),0.2832,0.3794,0.1720,0.9598
Ensemble - Média (todos),0.2930,0.3767,0.1881,0.9572
