,MSE,MAE,ARV,IA
AR,0.9433,0.6210,0.3807,0.9102
ARMA,0.9243,0.6138,0.3740,0.9120
MLP,1.1373,0.7149,0.4887,0.8872
RBF,1.4209,0.7939,0.5465,0.8637
ELM,0.9916,0.6239,0.3915,0.9061
ESN,1.0153,0.6292,0.3276,0.9130
AR+MLP,1.1094,0.7205,0.3917,0.9002
AR+RBF,1.9326,1.1201,0.5198,0.8435
AR+ELM,1.2730,0.7698,0.4049,0.8905
AR+ESN,1.1611,0.7137,0.3855,0.8983
ARMA+MLP,1.2184,0.7845,0.4129,0.8920
ARMA+RBF,2.1828,1.2218,0.5448,0.8289
ARMA+ELM,1.2581,0.7208,0.3897,0.8932
ARMA+ESN,1.1794,0.7281,0.3993,0.8957
Ensemble - Mediana (ML),0.9316,0.6165,0.3768,0.9113
Ensemble - Mediana (RNAs),0.9461,0.6205,0.3957,0.9083
Ensemble - Mediana (RNAs sem RBF),0.9610,0.6184,0.3916,0.9079
Ensemble - Mediana (MU),0.9212,0.6114,0.3815,0.9114
Ensemble - Mediana (MU sem RBF),0.9270,0.6139,0.3781,0.9114
Ensemble - Mediana (todos),1.0276,0.6752,0.3846,0.9052
Ensemble - Média (ML),0.9316,0.6165,0.3768,0.9113
Ensemble - Média (RNAs),0.9374,0.6358,0.3848,0.9100
Ensemble - Média (RNAs sem RBF),0.9374,0.6358,0.3848,0.9100
Ensemble - Média (MU),0.9199,0.6227,0.3782,0.9118
Ensemble - Média (MU sem RBF),0.9321,0.6191,0.3711,0.9119
Ensemble - Média (todos),1.0511,0.6997,0.3840,0.9040
