,MSE,MAE,ARV,IA
AR,0.5073,0.5372,0.3794,0.9142
ARMA,0.4973,0.5291,0.3763,0.9155
MLP,0.6996,0.6966,0.6117,0.8702
RBF,1.2153,0.9422,1.2501,0.7493
ELM,0.5078,0.5309,0.3290,0.9198
ESN,0.5006,0.5284,0.3412,0.9190
AR+MLP,1.3293,1.0068,0.6175,0.8113
AR+RBF,1.5169,1.0874,0.6616,0.7898
AR+ELM,1.2609,0.9745,0.6490,0.8109
AR+ESN,0.6584,0.6472,0.4248,0.8947
ARMA+MLP,1.6167,1.1268,0.6619,0.7832
ARMA+RBF,1.5457,1.0973,0.6542,0.7894
ARMA+ELM,2.4205,1.1838,0.7502,0.7098
ARMA+ESN,0.6572,0.6361,0.4021,0.8977
Ensemble - Mediana (ML),0.4988,0.5311,0.3762,0.9154
Ensemble - Mediana (RNAs),0.5576,0.5907,0.4454,0.9024
Ensemble - Mediana (RNAs sem RBF),0.5071,0.5331,0.3376,0.9189
Ensemble - Mediana (MU),0.5035,0.5363,0.3654,0.9161
Ensemble - Mediana (MU sem RBF),0.5017,0.5327,0.3568,0.9172
Ensemble - Mediana (todos),0.8599,0.7862,0.6074,0.8530
Ensemble - Média (ML),0.4988,0.5311,0.3762,0.9154
Ensemble - Média (RNAs),0.5990,0.6244,0.5209,0.8906
Ensemble - Média (RNAs sem RBF),0.5990,0.6244,0.5209,0.8906
Ensemble - Média (MU),0.5472,0.5829,0.4598,0.9021
Ensemble - Média (MU sem RBF),0.5100,0.5445,0.3834,0.9135
Ensemble - Média (todos),0.8222,0.7581,0.5240,0.8672
