,MSE,MAE,ARV,IA
AR,0.2417,0.3460,0.1488,0.9641
ARMA,0.2399,0.3457,0.1479,0.9644
MLP,0.3279,0.4701,0.2855,0.9425
RBF,1.3592,1.0414,1.3532,0.7195
ELM,0.2393,0.3441,0.1432,0.9650
ESN,0.2375,0.3430,0.1438,0.9651
AR+MLP,0.9181,0.8481,0.4008,0.8780
AR+RBF,0.7429,0.7494,0.3299,0.9020
AR+ELM,0.3068,0.3968,0.1661,0.9570
AR+ESN,0.2795,0.3824,0.1549,0.9604
ARMA+MLP,1.0507,0.9191,0.4320,0.8636
ARMA+RBF,0.9886,0.8889,0.3986,0.8739
ARMA+ELM,0.3153,0.4021,0.1717,0.9556
ARMA+ESN,0.2695,0.3733,0.1510,0.9617
Mediana (ML),0.2403,0.3454,0.1480,0.9643
Mediana (RNAs),0.2597,0.3900,0.1903,0.9581
Mediana (RNAs sem RBF),0.2374,0.3431,0.1471,0.9647
Mediana (MU),0.2380,0.3444,0.1496,0.9643
Mediana (MU sem RBF),0.2378,0.3438,0.1474,0.9646
Mediana (todos),0.2462,0.3503,0.1530,0.9633
Média (ML),0.2403,0.3454,0.1480,0.9643
Média (RNAs),0.3451,0.4890,0.2942,0.9399
Média (RNAs sem RBF),0.2458,0.3660,0.1675,0.9617
Média (MU),0.2848,0.4235,0.2195,0.9529
Média (MU sem RBF),0.2410,0.3536,0.1578,0.9632
Média (todos),0.2719,0.3680,0.1751,0.9586
